氏名,生年月日,出身地,血液型,身長,加入期,状態
秋元真夏,1993/8/20,埼玉県,B型,154cm,1期生,在籍
生田絵梨花,1997/1/22,東京都,A型,160cm,1期生,在籍
齋藤飛鳥,1998/8/10,東京都,O型,158cm,1期生,在籍
白石麻衣,1992/8/20,群馬県,A型,162cm,1期生,在籍
高山一実,1994/2/8,千葉県,A型,162cm,1期生,在籍
中田花奈,1994/8/6,埼玉県,A型,158cm,1期生,在籍
樋口日奈,1998/1/31,東京都,A型,159cm,1期生,在籍
星野みなみ,1998/2/6,千葉県,B型,155cm,1期生,在籍
松村沙友理,1992/8/27,大阪府,B型,164cm,1期生,在籍
和田まあや,1998/4/23,広島県,O型,160cm,1期生,在籍
伊藤純奈,1998/11/30,神奈川県,A型,166cm,2期生,在籍
北野日奈子,1996/7/17,北海道,O型,158cm,2期生,在籍
新内眞衣,1992/1/22,埼玉県,B型,165cm,2期生,在籍
鈴木絢音,1999/3/5,秋田県,O型,160cm,2期生,在籍
寺田蘭世,1998/9/23,東京都,不明,155cm,2期生,在籍
堀未央奈,1996/10/15,岐阜県,O型,160cm,2期生,在籍
山崎怜奈,1997/5/21,東京都,B型,164cm,2期生,在籍
渡辺みり愛,1999/11/1,東京都,O型,153cm,2期生,在籍
伊藤理々杏,2002/10/8,沖縄県,B型,154cm,3期生,在籍
岩本蓮加,2004/2/2,東京都,B型,157cm,3期生,在籍
梅澤美波,1999/1/6,神奈川県,A型,170cm,3期生,在籍
大園桃子,1999/9/13,鹿児島県,O型,156cm,3期生,在籍
久保史緒里,2001/7/14,宮城県,O型,159cm,3期生,在籍
阪口珠美,2001/11/10,東京都,A型,161cm,3期生,在籍
佐藤楓,1998/3/23,愛知県,A型,161cm,3期生,在籍
中村麗乃,2001/9/27,東京都,不明,167cm,3期生,在籍
向井葉月,1999/8/23,東京都,A型,152cm,3期生,在籍
山下美月,1999/7/26,東京都,O型,159cm,3期生,在籍
吉田綾乃クリスティー,1995/9/6,大分県,A型,161cm,3期生,在籍
与田祐希,2000/5/5,福岡県,O型,152cm,3期生,在籍
岩瀬佑美子,1990/6/12,埼玉県,A型,153cm,1期生,卒業
安藤美雲,1993/5/21,神奈川県,O型,156cm,1期生,卒業
柏幸奈,1994/8/12,神奈川県,B型,158cm,1期生,卒業
宮澤成良,1993/10/29,千葉県,O型,166cm,1期生,卒業
市來玲奈,1996/1/22,千葉県,A型,153cm,1期生,卒業
伊藤寧々,1995/12/12,岐阜県,B型,148cm,1期生,卒業
大和里菜,1994/12/14,宮城県,O型,162cm,1期生,卒業
畠中清羅,1995/12/5,大分県,B型,150cm,1期生,卒業
松井玲奈,1991/7/27,愛知県,O型,162cm,交換留学生,卒業
永島聖羅,1994/5/19,愛知県,O型,158cm,1期生,卒業
深川麻衣,1991/3/29,静岡県,O型,162cm,1期生,卒業
橋本奈々未,1993/2/20,北海道,B型,163cm,1期生,卒業
中元日芽香,1996/4/13,広島県,O型,161cm,1期生,卒業
伊藤万理華,1996/2/20,神奈川県,O型,156cm,1期生,卒業
川村真洋,1995/7/23,大阪府,A型,157cm,1期生,卒業
生駒里奈,1995/12/29,秋田県,AB型,153cm,1期生,卒業
斎藤ちはる,1997/2/17,埼玉県,A型,166cm,1期生,卒業
相楽伊織,1997/11/26,埼玉県,O型,164cm,2期生,卒業
若月佑美,1994/6/27,静岡県,O型,157cm,1期生,卒業
能條愛未,1994/10/18,神奈川県,A型,162cm,1期生,卒業
川後陽菜,1998/3/22,長崎県,O型,161cm,1期生,卒業
西野七瀬,1994/5/25,大阪府,O型,159cm,1期生,卒業
衛藤美彩,1993/1/4,大分県,AB型,163cm,1期生,卒業
伊藤かりん,1993/5/26,神奈川県,O型,153cm,2期生,卒業
斉藤優里,1993/7/20,東京都,O型,157cm,1期生,卒業
桜井玲香,1994/5/16,神奈川県,A型,155cm,1期生,卒業
佐々木琴子,1998/8/28,埼玉県,A型,163cm,2期生,卒業
井上小百合,1994/12/14,埼玉県,B型,156cm,1期生,卒業
遠藤さくら,2001/10/3,愛知県,不明,160cm,4期生,在籍
賀喜遥香,2001/8/8,栃木県,A型,166cm,4期生,在籍
掛橋沙耶香,2002/11/20,岡山県,B型,156cm,4期生,在籍
金川紗耶,2001/10/31,北海道,O型,164cm,4期生,在籍
北川悠理,2001/8/8,カリフォルニア州,不明,163cm,4期生,在籍
柴田柚菜,2003/3/3,千葉県,A型,160cm,4期生,在籍
清宮レイ,2003/8/1,埼玉県,O型,162cm,4期生,在籍
田村真佑,1999/1/12,埼玉県,A型,158cm,4期生,在籍
筒井あやめ,2004/6/8,愛知県,O型,160cm,4期生,在籍
早川聖来,2000/8/24,大阪府,A型,164cm,4期生,在籍
矢久保美緒,2002/8/14,東京都,B型,152cm,4期生,在籍
黒見明香,2004/1/19,東京都,O型,162cm,4期生,在籍
佐藤璃果,2001/8/9,岩手県,B型,158cm,4期生,在籍
林瑠奈,2003/10/2,神奈川県,O型,163cm,4期生,在籍
松尾美佑,2004/1/3,千葉県,O型,165cm,4期生,在籍
弓木奈於,1999/2/3,京都府,A型,165cm,4期生,在籍
西川七海,1993/7/3,東京都,A型,165cm,2期生,卒業
矢田里沙子,1995/3/8,埼玉県,A型,158cm,2期生,卒業
米徳京花,1999/4/14,神奈川県,AB型,163cm,2期生,卒業